country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Portugal,GrTw,SAW,SAW,Portugal,1,Anchor,Killjoy,Cypher,Viper,22,367,257,113,1.42,1.86,232,16.6,11.6,5.1,Portuguese,Mirandese,
Slovenia,Grmekista,Diamant Esports,DIA,East EMEA,2,Lurker,Astra,Killjoy,Deadlock,39,537,530,260,1.01,1.5,187,13.7,13.5,6.6,Slovenian,,
Spain,Guardy,Barça eSports,BAR,Spain,1,Flash,Skye,Gekko,KAY/O,24,358,327,169,1.09,1.61,202,14.9,13.6,7.0,Spanish,,
Egypt,Gunner,top gz,TOPG,Levant and North Africa,7,Anchor,Killjoy,Cypher,,22,268,317,66,0.84,1.05,171,12.1,14.4,3.0,Arabic,,
Portugal,H4te,GTZ Esports,GTZ,Portugal,5,Smoker,Omen,Viper,,14,205,204,91,1.0,1.45,184,14.6,14.5,6.5,Portuguese,Mirandese,
Russia,HEMMORJAY,Skulls Esports,SKUL,Levant and North Africa,8,Entry,Jett,Raze,Chamber,24,229,373,69,0.61,0.79,152,9.5,15.5,2.8,Russian,,
Germany,Happen,Permitta Unicorns,PXU,DACH,8,Recon,Fade,Sova,Gekko,12,199,186,89,1.06,1.54,200,16.5,15.5,7.4,German,,
Italy,HearthBeat,SweetNSour,SNS,North EMEA,2,Smoker,Omen,Viper,Brimstone,26,360,391,235,0.92,1.52,179,13.8,15.0,9.0,Italian,,
France,Hiiro,GTZ Esports,GTZ,Portugal,5,Anchor,Cypher,,,14,220,213,69,1.03,1.35,198,15.7,15.2,4.9,French,,
Czechia,Hitch,ESC Gaming,ESC,East EMEA,10,Flash,KAY/O,Breach,Brimstone,22,288,372,265,0.77,1.48,182,13.0,16.9,12.0,Czech,,
Portugal,HolyM0Ly,Ex0Tik Gaming,EX0,Portugal,3,Anchor,Killjoy,,,2,33,33,9,1.0,1.27,219,16.5,16.5,4.5,Portuguese,Mirandese,
France,HyP,Mandatory,MDR,France,4,Recon,Gekko,Sova,Fade,26,313,339,160,0.92,1.39,161,12.0,13.0,6.1,French,,
Italy,Infamous,RTZN,RTZN,Italy,7,Smoker,Omen,,,1,6,17,5,0.35,0.64,127,6.0,17.0,5.0,Italian,,
Russia,Ivan4ezz,VX300 Gaming,VX3,Italy,5,Flash,Gekko,Skye,Sova,13,159,173,74,0.91,1.34,183,12.2,13.3,5.6,Italian,Russian,
Turkey,Izzy,SuperMassive Esports,SUP,Turkey,6,Entry,Raze,Neon,Jett,29,609,432,118,1.4,1.68,272,21.0,14.8,4.0,Turkish,,
Russia,JAMTER,top gz,TOPG,Levant and North Africa,7,Recon,Sova,Gekko,Fade,5,58,67,19,0.86,1.14,178,11.6,13.4,3.8,Russian,,
Spain,JKG,Imperium Gaming,IMP,Spain,8,Smoker,Omen,Viper,,4,57,60,25,0.95,1.36,176,14.2,15.0,6.2,Spanish,,
Turkey,JN3v1cEEE,Eternal Fire,EF,Turkey,9,Smoker,Omen,Viper,Astra,20,255,303,154,0.84,1.34,182,12.7,15.1,7.7,Turkish,,
Russia,Jady,ZERANCE,ZER,France,3,Anchor,Cypher,Viper,Killjoy,26,394,353,127,1.11,1.47,209,15.1,13.5,4.8,French,Russian,
United Kingdom,Jaf,Formulation Gaming,FMG,North EMEA,7,Smoker,Omen,Brimstone,Viper,17,220,268,111,0.82,1.23,164,12.9,15.7,6.5,English,,
Ukraine,Javelin,LONETEAM,LONE,Italy,6,Entry,Raze,Jett,Reyna,12,211,192,39,1.09,1.3,252,17.5,16.0,3.2,Italian,Ukrainian,
Finland,Jesmu,OnlyFins,OF,North EMEA,4,Recon,Gekko,Sova,Fade,27,381,398,158,0.95,1.35,194,14.1,14.7,5.8,Finnish,Swedish,
Czechia,Jesse,Valiant,VLNT,France,2,Smoker,Omen,Viper,,25,438,359,189,1.22,1.74,223,17.5,14.3,7.5,French,Czech,
Netherlands,JimBk,LONETEAM,LONE,Italy,6,Recon,Sova,Neon,,14,197,215,86,0.91,1.31,207,14.0,15.3,6.1,Italian,Dutch,
Spain,Jolpi,ZETA (Spanish team),ZETA,Spain,7,Smoker,Omen,,,4,57,59,24,0.96,1.37,202,14.2,14.7,6.0,Spanish,,
Turkey,JrayN,Fenerbahçe Esports,FB,Turkey,10,Recon,KAY/O,Sova,Deadlock,21,309,295,126,1.04,1.47,202,14.7,14.0,6.0,Turkish,,
Saudi Arabia,KHaaLiD,Team Falcons,FLC,GCC and Iraq,1,Flash,Breach,Omen,Sova,33,457,403,254,1.13,1.76,193,13.8,12.2,7.6,Arabic,,
Portugal,KILLDREAMST,PPP,PPP,Portugal,2,Smoker,Omen,Viper,Iso,24,368,310,173,1.18,1.74,227,15.3,12.9,7.2,Portuguese,Mirandese,
Denmark,KPZET,Barça eSports,BAR,Spain,1,Smoker,Viper,Omen,Clove,24,370,326,163,1.13,1.63,213,15.4,13.5,6.7,Spanish,Danish,English
Turkey,KROSTALY,Eternal Fire,EF,Turkey,9,Entry,Jett,Raze,Breach,21,315,330,94,0.95,1.23,199,15.0,15.7,4.4,Turkish,,
Lithuania,Kajuks,B8 Esports,B8,East EMEA,6,Smoker,Omen,Breach,Viper,27,425,412,212,1.03,1.54,207,15.7,15.2,7.8,Lithuanian,,
Finland,Kalkkuna,Apinaorkesteri,APE,North EMEA,8,Entry,Jett,Raze,Yoru,15,236,250,50,0.94,1.14,215,15.7,16.6,3.3,Finnish,Swedish,
Poland,Kamisseq,Ramboot Club,RBT,Spain,4,Smoker,Omen,Sova,,21,344,309,136,1.11,1.55,204,16.3,14.7,6.4,Spanish,Polish,
Algeria,Kaqnn,Skulls Esports,SKUL,Levant and North Africa,8,Lurker,Cypher,Viper,Omen,24,249,369,79,0.67,0.88,154,10.3,15.3,3.2,Arabic,French,
Germany,Karma,ALTERNATE aTTaX,ATN,DACH,5,Anchor,Killjoy,Cypher,Deadlock,16,226,212,53,1.06,1.31,191,14.1,13.2,3.3,German,,
Poland,Katu,Ramboot Club,RBT,Spain,4,Flash,Skye,Gekko,Phoenix,21,330,319,144,1.03,1.48,210,15.7,15.1,6.8,Spanish,Polish,
Portugal,Kayn,GTZ Esports,GTZ,Portugal,5,Flash,Breach,Sova,,14,176,219,120,0.8,1.35,164,12.5,15.6,8.5,Portuguese,Mirandese,
Portugal,KenzmPs,FTW LEÇA FC,FXL,Portugal,8,Recon,Sova,Gekko,Fade,14,181,225,86,0.8,1.18,171,12.9,16.0,6.1,Portuguese,Mirandese,
Algeria,Kheops,Onyx Ravens,OXR,Levant and North Africa,4,Smoker,Omen,Viper,Brimstone,33,425,485,250,0.87,1.39,174,12.8,14.6,7.5,Arabic,French,
Ukraine,Kiles,KPI Gaming,KPI,EMEA Playins,2,Recon,Fade,Breach,Viper,10,117,127,80,0.92,1.55,155,11.7,12.7,8.0,Ukrainian,,
France,Killu,Akroma,AKR,France,6,Anchor,Viper,Deadlock,Cypher,18,307,270,94,1.13,1.48,217,17.0,15.0,5.2,French,,
Saudi Arabia,King,Dragons Esports,DRGN,GCC and Iraq,7,Smoker,Viper,Sova,,19,277,298,110,0.92,1.29,207,14.5,15.6,5.7,Arabic,,
Belgium,Kinguyen,Solary,SLY,France,7,Entry,Jett,Raze,Yoru,19,337,326,82,1.03,1.28,221,17.7,17.1,4.3,French,Dutch,German
Germany,Kirby,DIVIZON,DIV,DACH,6,Anchor,Cypher,Killjoy,,2,23,31,9,0.74,1.03,139,11.5,15.5,4.5,German,,
Austria,Kongi,XPERION NXT,NXT,DACH,9,Lurker,Viper,Killjoy,Cypher,20,298,321,116,0.92,1.28,189,14.9,16.0,5.8,German,,
Spain,Kotaro,Imperium Gaming,IMP,Spain,8,Anchor,Killjoy,Viper,Cypher,14,165,225,46,0.73,0.93,164,11.7,16.0,3.2,Spanish,,
Poland,Kozok,B8 Esports,B8,East EMEA,6,Lurker,Cypher,Omen,Viper,20,306,284,124,1.07,1.51,204,15.3,14.2,6.2,Polish,,
Poland,Krizz,Zero Tenacity,Z10,East EMEA,8,Entry,Jett,Raze,Cypher,22,297,351,79,0.84,1.07,175,13.5,15.9,3.5,Polish,,
Qatar,Kugio,The Ultimates,TU,GCC and Iraq,4,Recon,KAY/O,Fade,Raze,32,486,468,246,1.03,1.56,203,15.1,14.6,7.6,Arabic,,
Saudi Arabia,Kuro,Unity Esports,UNT,GCC and Iraq,2,Anchor,Cypher,Killjoy,Viper,38,550,601,183,0.91,1.21,197,14.4,15.8,4.8,Arabic,,
France,KyLoU,GTZ Esports,GTZ,Portugal,5,Recon,Sova,Brimstone,,5,80,82,34,0.97,1.39,215,16.0,16.4,6.8,French,,
Saudi Arabia,LIQUID,The Ultimates,TU,GCC and Iraq,4,Flash,Breach,Skye,Gekko,8,99,113,58,0.87,1.38,161,12.3,14.1,7.2,Arabic,,
Turkey,Lar0k,Pcific Esports,PCF,Turkey,1,Flash,Gekko,KAY/O,Breach,34,517,450,276,1.14,1.76,204,15.2,13.2,8.1,Turkish,,
United Kingdom,Leare,Impulse Gaming Warriors,IGW,Portugal,4,Entry,Jett,Gekko,Raze,18,359,250,52,1.43,1.64,274,19.9,13.8,2.8,English,,
Portugal,Lekyy,FUZOS,FUZO,Portugal,7,Lurker,Viper,Cypher,Omen,13,155,223,64,0.69,0.98,149,11.9,17.1,4.9,Portuguese,Mirandese,
Germany,Leosen,Eintracht Frankfurt,SGE,DACH,3,Entry,Raze,Jett,Neon,29,514,490,99,1.04,1.25,217,17.7,16.8,3.4,German,,
United Kingdom,Lime,SweetNSour,SNS,North EMEA,2,Anchor,Cypher,Viper,,3,59,48,10,1.22,1.43,234,19.6,16.0,3.3,English,,
Italy,Limp,Axolotl,AXL,Italy,8,Lurker,Omen,Raze,Killjoy,9,127,143,44,0.88,1.19,189,14.1,15.8,4.8,Italian,,
Germany,Linus,DIVIZON,DIV,DACH,6,Lurker,Omen,Cypher,,24,388,397,170,0.97,1.4,214,16.1,16.5,7.0,German,,
Egypt,Loco,top gz,TOPG,Levant and North Africa,7,Flash,Breach,Viper,KAY/O,27,347,415,194,0.83,1.3,184,12.8,15.3,7.1,Arabic,,
Turkey,Loita,Pcific Esports,PCF,Turkey,1,Smoker,Omen,Viper,,34,528,497,277,1.06,1.61,207,15.5,14.6,8.1,Turkish,,
United Kingdom,Louitan,Ovation eSports,OVA,DACH,10,Anchor,Viper,KAY/O,Sage,21,282,315,122,0.89,1.28,194,13.4,15.0,5.8,English,,
United Kingdom,Luzuh,Ovation eSports,OVA,DACH,10,Entry,Jett,Raze,Chamber,21,296,332,67,0.89,1.09,202,14.0,15.8,3.1,English,,
Turkey,LêwN,Galatasaray Esports,GS,Turkey,4,Entry,Jett,Raze,Iso,27,547,459,107,1.19,1.42,260,20.2,17.0,3.9,Turkish,,
Netherlands,MAGiK,Joblife,JL,France,1,Smoker,Omen,Brimstone,Killjoy,25,384,344,172,1.11,1.61,210,15.3,13.7,6.8,French,Dutch,
France,MARCTYLINHO,DVM,DVM,France,8,Smoker,Omen,Deadlock,Astra,19,263,261,115,1.0,1.44,187,13.8,13.7,6.0,French,,
Romania,MCD,DIVIZON,DIV,DACH,6,Anchor,Cypher,Killjoy,Viper,19,293,255,69,1.14,1.41,182,15.4,13.4,3.6,Romanian,,
Turkey,MERZ,İstanbul Wildcats,IW,Turkey,8,Smoker,Omen,KAY/O,Viper,21,235,342,181,0.68,1.21,158,11.1,16.2,8.6,Turkish,,
Poland,MOLSI,Apeks,APK,North EMEA,1,Anchor,Sage,Breach,Sova,22,305,279,169,1.09,1.69,203,13.8,12.6,7.6,Polish,,
Qatar,Mabuchi,Underground Gaming,UG,GCC and Iraq,3,Entry,Raze,Jett,Neon,34,547,508,106,1.07,1.28,224,16.0,14.9,3.1,Arabic,,
Egypt,Magneto,top gz,TOPG,Levant and North Africa,7,Smoker,Omen,Sage,Clove,27,322,416,146,0.77,1.12,179,11.9,15.4,5.4,Arabic,,
Germany,Magnus,ALTERNATE aTTaX,ATN,DACH,5,Entry,Raze,Jett,Neon,27,429,378,77,1.13,1.33,223,15.8,14.0,2.8,German,,
Scotland,Marky,Metizport,MZP,North EMEA,6,Entry,Raze,Sage,Jett,10,155,169,40,0.91,1.15,207,15.5,16.9,4.0,English,Scots,
Turkey,Masic,Galakticos,GAL,Turkey,3,Entry,Jett,Raze,Chamber,35,520,518,158,1.0,1.3,186,14.8,14.8,4.5,Turkish,,
Belgium,MaximN,NXT,NXT,North EMEA,5,Recon,Fade,Sova,Deadlock,19,251,272,134,0.92,1.41,183,13.2,14.3,7.0,Dutch,French,German
Sweden,Meddo,SK Gaming,SK,DACH,7,Lurker,Breach,Viper,Killjoy,20,273,289,156,0.94,1.48,170,13.6,14.4,7.8,Swedish,,
Spain,Michel,ZETA (Spanish team),ZETA,Spain,7,Entry,Raze,Jett,,14,226,238,44,0.94,1.13,232,16.1,17.0,3.1,Spanish,,
Poland,Mickebwoy,Axolotl,AXL,Italy,8,Recon,Fade,,,2,30,19,15,1.57,2.36,178,15.0,9.5,7.5,Italian,Polish,
Spain,MikaEl,FALKE ESPORTS,FLK,Spain,6,Recon,Sova,Skye,Gekko,17,172,280,93,0.61,0.94,152,10.1,16.4,5.4,Spanish,,
Czechia,Minny,GoNext Esports,GN,East EMEA,1,Anchor,Killjoy,Gekko,Cypher,31,468,386,122,1.21,1.52,202,15.0,12.4,3.9,Czech,,
Saudi Arabia,Moh,Team Falcons,FLC,GCC and Iraq,1,Lurker,Omen,Chamber,Astra,33,529,413,162,1.28,1.67,225,16.0,12.5,4.9,Arabic,,
Italy,Morphiius,Axolotl,AXL,Italy,8,Lurker,Yoru,Omen,Jett,12,171,201,76,0.85,1.22,192,14.2,16.7,6.3,Italian,,
Italy,Morphiw0w,Outplayed,OP,Italy,3,Anchor,Viper,Skye,Deadlock,20,243,300,170,0.81,1.37,177,12.1,15.0,8.5,Italian,,
Slovenia,Mot1on,Gamax Esports,GMX,Levant and North Africa,5,Recon,Fade,Sova,Breach,33,472,437,243,1.08,1.63,196,14.3,13.2,7.3,Slovenian,,
Germany,Movi,Permitta Unicorns,PXU,DACH,8,Flash,Breach,Sova,Omen,20,263,316,143,0.83,1.28,166,13.1,15.8,7.1,German,,
Turkey,Mykoz,Imperium Gaming,IMP,Spain,8,Smoker,Viper,Omen,Sova,10,157,165,42,0.95,1.2,228,15.7,16.5,4.2,Spanish,Turkish,
Italy,N A I S,NOVO Esports,NOVO,Italy,2,Recon,Sova,Cypher,Gekko,22,277,274,113,1.01,1.42,186,12.5,12.4,5.1,Italian,,
Poland,NINJA,Chipi Chapa's,CHCH,East EMEA,5,Smoker,Omen,Viper,,25,379,345,141,1.09,1.5,195,15.1,13.8,5.6,Polish,,
France,NRK,Hurricane Of Feathers,HOF,Portugal,6,Lurker,Viper,Killjoy,Cypher,11,155,168,74,0.92,1.36,197,14.0,15.2,6.7,French,,
Italy,Nade,Outplayed,OP,Italy,3,Entry,Jett,Raze,,7,100,115,26,0.86,1.09,192,14.2,16.4,3.7,Italian,,
Saudi Arabia,Naifma7,Vision Esports,VIS,GCC and Iraq,8,Entry,Jett,Raze,Sova,19,306,306,53,1.0,1.17,223,16.1,16.1,2.7,Arabic,,
Tunisia,Nartzie,Skulls Esports,SKUL,Levant and North Africa,8,Recon,Sova,Cypher,Skye,18,168,248,81,0.67,1.0,154,9.3,13.7,4.5,Arabic,,
Saudi Arabia,Nawaf,Dragons Esports,DRGN,GCC and Iraq,7,Recon,Fade,Sova,KAY/O,29,386,432,171,0.89,1.28,182,13.3,14.8,5.8,Arabic,,
Poland,NeFi,Ex0Tik Gaming,EX0,Portugal,3,Flash,Gekko,Skye,Viper,15,181,188,74,0.96,1.35,189,12.0,12.5,4.9,Polish,,
Kuwait,Near,Unity Esports,UNT,GCC and Iraq,2,Recon,Sova,Fade,Viper,41,577,572,242,1.0,1.43,187,14.0,13.9,5.9,Arabic,,
Spain,Negradas,ZETA (Spanish team),ZETA,Spain,7,Anchor,Phoenix,Killjoy,Cypher,14,171,208,76,0.82,1.18,168,12.2,14.8,5.4,Spanish,,
Spain,Neiker,FALKE ESPORTS,FLK,Spain,6,Anchor,Killjoy,Cypher,,17,208,264,45,0.78,0.95,169,12.2,15.5,2.6,Spanish,,
France,NeskaaS,Valiant,VLNT,France,2,Anchor,Killjoy,Cypher,Brimstone,25,354,372,98,0.95,1.21,185,14.1,14.8,3.9,French,,
Saudi Arabia,Ninjas,Vision Esports,VIS,GCC and Iraq,8,Smoker,Omen,Viper,Sova,21,275,333,99,0.82,1.12,175,13.0,15.8,4.7,Arabic,,
France,NowaXxZang,Cicadas Gaming,CG,France,5,Smoker,Omen,Viper,,18,193,290,127,0.66,1.1,153,10.7,16.1,7.0,French,,
Czechia,Nunmeister,B8 Esports,B8,East EMEA,6,Lurker,Cypher,Yoru,KAY/O,27,422,406,201,1.03,1.53,202,15.6,15.0,7.4,Czech,,
Spain,Nunu,Imperium Gaming,IMP,Spain,8,Smoker,KAY/O,Omen,Viper,14,176,223,92,0.78,1.2,179,12.5,15.9,6.5,Spanish,,
Germany,NyaRu,DIVIZON,DIV,DACH,6,Anchor,Killjoy,Jett,Cypher,3,33,40,8,0.82,1.02,143,11.0,13.3,2.6,German,,
Portugal,OLIZERA,UCAM Esports Club,UCAM,Spain,2,Anchor,Cypher,Killjoy,Raze,21,310,269,105,1.15,1.54,209,14.7,12.8,5.0,Spanish,Portuguese,Mirandese
Turkey,OXMANN,SuperMassive Esports,SUP,Turkey,6,Anchor,Cypher,Viper,Killjoy,12,202,178,57,1.13,1.45,201,16.8,14.8,4.7,Turkish,,
France,OniBy,Akroma,AKR,France,6,Flash,Gekko,Sova,Sage,18,236,290,108,0.81,1.18,176,13.1,16.1,6.0,French,,
Lithuania,OzzyTK,Metizport,MZP,North EMEA,6,Smoker,Viper,Skye,Iso,17,235,290,85,0.81,1.1,176,13.8,17.0,5.0,Lithuanian,,
Poland,PROFEK,GoNext Esports,GN,East EMEA,1,Smoker,Omen,Viper,,31,542,369,248,1.46,2.14,239,17.4,11.9,8.0,Polish,,
Denmark,Pa1ze,Diamant Esports,DIA,East EMEA,2,Entry,Raze,Jett,Neon,39,699,595,125,1.17,1.38,245,17.9,15.2,3.2,Danish,English,
Turkey,Padisah,Galatasaray Esports,GS,Turkey,4,Anchor,Killjoy,Cypher,Brimstone,27,422,426,114,0.99,1.25,198,15.6,15.7,4.2,Turkish,,
Slovenia,Patix,Impulse Gaming Warriors,IGW,Portugal,4,Recon,Sova,Gekko,Sage,18,216,248,95,0.87,1.25,175,12.0,13.7,5.2,Slovenian,,
Turkey,Patrui,S2G Esports,S2G,Turkey,7,Smoker,Viper,Omen,Brimstone,24,354,348,215,1.01,1.63,191,14.7,14.5,8.9,Turkish,,
Italy,Pax,RTZN,RTZN,Italy,7,Entry,Raze,Jett,,11,156,198,36,0.78,0.96,198,14.1,18.0,3.2,Italian,,
Portugal,Phatt,PPP,PPP,Portugal,2,Flash,Breach,Sage,Gekko,24,279,273,194,1.02,1.73,161,11.6,11.3,8.0,Portuguese,Mirandese,
Serbia,Prti,Diamant Esports,DIA,East EMEA,2,Recon,Skye,Fade,Breach,39,480,551,293,0.87,1.4,170,12.3,14.1,7.5,Serbian,,
Sweden,Puggy,Formulation Gaming,FMG,North EMEA,7,Recon,Sova,Fade,Gekko,17,230,250,141,0.92,1.48,184,13.5,14.7,8.2,Swedish,,
Argentina,Pukytoo,ZETA (Spanish team),ZETA,Spain,7,Flash,Omen,KAY/O,Breach,10,98,163,67,0.6,1.01,141,9.8,16.3,6.7,Spanish,,
Spain,Quick,UCAM Esports Club,UCAM,Spain,2,Recon,Sova,Fade,,21,280,265,108,1.05,1.46,183,13.3,12.6,5.1,Spanish,,
Ukraine,RARE,B8 Esports,B8,East EMEA,6,Anchor,Cypher,Omen,Deadlock,7,81,112,35,0.72,1.03,152,11.5,16.0,5.0,Ukrainian,,
Russia,Razvy,top gz,TOPG,Levant and North Africa,7,Anchor,Killjoy,Cypher,,5,57,72,11,0.79,0.94,168,11.4,14.4,2.2,Russian,,
United Kingdom,ReQz,NXT,NXT,North EMEA,5,Entry,Raze,Sova,Jett,20,324,307,124,1.05,1.45,219,16.2,15.3,6.2,English,,
Austria,Reapy,top gz,TOPG,Levant and North Africa,7,Entry,Jett,Raze,,27,393,424,67,0.92,1.08,208,14.5,15.7,2.4,German,,
Israel,Reason,RTZN,RTZN,Italy,7,Recon,Sova,,,2,19,29,16,0.65,1.2,150,9.5,14.5,8.0,Italian,Hebrew,
Austria,Rexon,XPERION NXT,NXT,DACH,9,Lurker,Omen,Cypher,Skye,20,239,327,132,0.73,1.13,152,11.9,16.3,6.6,German,,
Italy,RickyVaila,Axolotl,AXL,Italy,8,Smoker,Viper,Fade,Gekko,12,177,183,67,0.96,1.33,188,14.7,15.2,5.5,Italian,,
Netherlands,RobbieBk,Joblife,JL,France,1,Recon,Sova,Skye,Fade,25,352,336,140,1.04,1.46,190,14.0,13.4,5.6,French,Dutch,
Saudi Arabia,Robotic,Fraggerz,FRG,GCC and Iraq,5,Flash,Breach,Sova,Skye,7,98,121,36,0.8,1.1,186,14.0,17.2,5.1,Arabic,,
Egypt,RockeT,Gamax Esports,GMX,Levant and North Africa,5,Entry,Raze,Jett,,33,505,537,116,0.94,1.15,217,15.3,16.2,3.5,Arabic,,
Turkey,Rosé,Pcific Esports,PCF,Turkey,1,Recon,Sova,Breach,Omen,34,437,513,230,0.85,1.3,174,12.8,15.0,6.7,Turkish,,
Turkey,Ruxic,Fire Flux Esports,FF,Turkey,5,Smoker,Omen,Viper,,26,458,375,228,1.22,1.82,228,17.6,14.4,8.7,Turkish,,
Germany,RxYaL,Permitta Unicorns,PXU,DACH,8,Lurker,Omen,Chamber,Viper,8,83,125,37,0.66,0.96,163,10.3,15.6,4.6,German,,
Denmark,SEIDER,FOKUS,FKS,DACH,4,Recon,Gekko,Fade,Sova,30,326,404,183,0.8,1.25,152,10.8,13.4,6.1,Danish,English,
Finland,SPMAK,DIVIZON,DIV,DACH,6,Flash,Breach,Sova,Skye,24,302,371,231,0.81,1.43,174,12.5,15.4,9.6,Finnish,Swedish,
Germany,STAVINCI,ALTERNATE aTTaX,ATN,DACH,5,Flash,Breach,Gekko,KAY/O,27,351,380,206,0.92,1.46,179,13.0,14.0,7.6,German,,
Turkey,STERBEN,SuperMassive Esports,SUP,Turkey,6,Smoker,Omen,Viper,Astra,29,469,417,242,1.12,1.7,214,16.1,14.3,8.3,Turkish,,
Egypt,SXL,Gamax Esports,GMX,Levant and North Africa,5,Flash,Breach,Gekko,Brimstone,13,137,181,130,0.75,1.47,142,10.5,13.9,10.0,Arabic,,
Czechia,Sacake,Valiant,VLNT,France,2,Recon,Gekko,Sova,Fade,25,295,374,167,0.78,1.23,167,11.8,14.9,6.6,French,Czech,
Spain,Saiz,Barça eSports,BAR,Spain,1,Anchor,Killjoy,Cypher,Sage,24,366,338,110,1.08,1.4,204,15.2,14.0,4.5,Spanish,,
Egypt,Sand,Team Falcons,FLC,GCC and Iraq,1,Anchor,Cypher,Viper,Harbor,33,471,377,158,1.24,1.66,195,14.2,11.4,4.7,Arabic,,
Turkey,SasuKe,Eternal Fire,EF,Turkey,9,Recon,KAY/O,Omen,Sova,21,247,325,188,0.76,1.33,164,11.7,15.4,8.9,Turkish,,
Moldova,Sayonara,KPI Gaming,KPI,EMEA Playins,2,Entry,Raze,Jett,Sova,10,201,150,55,1.34,1.7,262,20.1,15.0,5.5,Moldovan,,
Norway,SemberN,Formulation Gaming,FMG,North EMEA,7,Anchor,Cypher,Viper,Killjoy,17,265,270,66,0.98,1.22,192,15.5,15.8,3.8,Norwegian,,
Latvia,Serial,Chipi Chapa's,CHCH,East EMEA,5,Anchor,Cypher,Gekko,Deadlock,27,454,409,109,1.11,1.37,217,16.8,15.1,4.0,Latvian,,
United Kingdom,Sevire,Solary,SLY,France,7,Flash,KAY/O,Sage,Breach,19,291,319,163,0.91,1.42,195,15.3,16.7,8.5,French,English,
Germany,Sevkaan,ALTERNATE aTTaX,ATN,DACH,5,Anchor,Killjoy,Cypher,,11,147,145,37,1.01,1.26,179,13.3,13.1,3.3,German,,
Jordan,ShawateRR,Underground Gaming,UG,GCC and Iraq,3,Smoker,Omen,Viper,,16,200,246,122,0.81,1.3,175,12.5,15.3,7.6,Arabic,,
Germany,Shazeon,Eintracht Frankfurt,SGE,DACH,3,Anchor,Cypher,Viper,Killjoy,29,486,456,181,1.06,1.46,203,16.7,15.7,6.2,German,,
Egypt,Shniider,Team RA'AD,RAAD,Levant and North Africa,2,Smoker,Clove,Gekko,Viper,37,626,635,244,0.98,1.37,224,16.9,17.1,6.5,Arabic,,
Belarus,SimonD4rk,R8 Esports,R8,Levant and North Africa,1,Flex,Raze,Yoru,Reyna,40,698,563,164,1.23,1.53,247,17.4,14.0,4.1,Russian,Belarusian,
Tunisia,Slacherj,Skulls Esports,SKUL,Levant and North Africa,8,Recon,Sova,Skye,Raze,15,175,232,50,0.75,0.96,184,11.6,15.4,3.3,Arabic,,
Portugal,Slaxx,FUZOS,FUZO,Portugal,7,Flash,Gekko,Breach,,6,97,101,41,0.96,1.36,189,16.1,16.8,6.8,Portuguese,Mirandese,
Norway,Snaptor,Axolotl,AXL,Italy,8,Entry,Reyna,,,2,21,31,4,0.67,0.8,186,10.5,15.5,2.0,Italian,Norwegian,
Kuwait,SnipKw,Unity Esports,UNT,GCC and Iraq,2,Smoker,Omen,Gekko,Brimstone,35,537,529,283,1.01,1.55,207,15.3,15.1,8.0,Arabic,,
Finland,Snowi,OnlyFins,OF,North EMEA,4,Flash,Breach,KAY/O,Skye,27,354,380,278,0.93,1.66,183,13.1,14.0,10.2,Finnish,Swedish,
France,SoOn,Mandatory,MDR,France,4,Anchor,Cypher,Killjoy,,19,249,273,84,0.91,1.21,172,13.1,14.3,4.4,French,,
Turkey,SouhcNi,SuperMassive Esports,SUP,Turkey,6,Recon,Sova,Gekko,Fade,29,325,414,198,0.78,1.26,153,11.2,14.2,6.8,Turkish,,
Russia,Sp1ke,Cicadas Gaming,CG,France,5,Entry,Jett,Raze,Neon,18,266,273,72,0.97,1.23,213,14.7,15.1,4.0,French,Russian,
Lebanon,SpY,Team Falcons,FLC,GCC and Iraq,1,Recon,Skye,Gekko,Fade,33,469,380,220,1.23,1.81,200,14.2,11.5,6.6,Arabic,,
Germany,Spocki,XPERION NXT,NXT,DACH,9,Flash,KAY/O,Gekko,Skye,20,263,341,147,0.77,1.2,165,13.1,17.0,7.3,German,,
Poland,Stix,Incognito,INCO,East EMEA,9,Smoker,Omen,Viper,Skye,21,310,306,115,1.01,1.38,200,14.7,14.5,5.4,Polish,,
Poland,Szalony,Incognito,INCO,East EMEA,9,Flex,Iso,Jett,,3,33,48,10,0.68,0.89,170,11.0,16.0,3.3,Polish,,
Hungary,Szimpli,DVM,DVM,France,8,Entry,Phoenix,Jett,Raze,19,294,306,84,0.96,1.23,216,15.4,16.1,4.4,French,Hungarian,
United Kingdom,T0BA,Requiem,RQM,North EMEA,3,Anchor,Cypher,Killjoy,Brimstone,27,399,386,148,1.03,1.41,198,14.7,14.2,5.4,English,,
Italy,Tag,DSYRE,DSY,Italy,1,Lurker,Viper,Killjoy,Cypher,19,269,233,117,1.15,1.65,201,14.1,12.2,6.1,Italian,,
Poland,TajReX,trashcan,TR,East EMEA,4,Anchor,Killjoy,Viper,Raze,34,532,513,164,1.03,1.35,226,15.6,15.0,4.8,Polish,,
Ireland,Tempo,SweetNSour,SNS,North EMEA,2,Anchor,Killjoy,Cypher,Viper,25,377,380,72,0.99,1.18,189,15.0,15.2,2.8,English,,
