country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Hong Kong,Kiuuuu,Oblivion Force,OF,Hong Kong and Taiwan,1,Smoker,Omen,Viper,,28,450,374,198,1.2,1.73,214,16.0,13.3,7.0,Mandarin,Cantonese,English
Thailand,Kntz,Made in Thailand,MITH,Thailand,1,Smoker,Omen,Astra,Brimstone,24,408,311,157,1.31,1.81,212,17.0,12.9,6.5,Thai,,
India,Kohliii,Velocity Gaming,VLT,South Asia,3,Recon,Sova,Omen,,17,218,268,137,0.81,1.32,177,12.8,15.7,8.0,Hindi,English,
Thailand,Kongared,Santa Gang,SG,Thailand,5,Recon,KAY/O,Skye,Fade,17,235,240,131,0.97,1.52,186,13.8,14.1,7.7,Thai,,
Indonesia,Kuroza,Le Crapaud,LCR,Indonesia,8,Lurker,Omen,Cypher,Viper,15,171,232,117,0.73,1.24,150,11.4,15.4,7.8,Indonesian,,
Indonesia,Kush,Alter Ego,AE,Indonesia,2,Flash,Gekko,Skye,KAY/O,24,404,357,168,1.13,1.6,230,16.8,14.8,7.0,Indonesian,,
Indonesia,Kylee,ARF TEAM,ARF,Indonesia,3,Anchor,Cypher,Killjoy,Viper,23,375,331,78,1.13,1.36,216,16.3,14.3,3.3,Indonesian,,
International,Kyun,Wolf Pack,WP,Oceania,12,Recon,Sova,Skye,Omen,7,70,111,44,0.63,1.02,149,10.0,15.8,6.2,English,,
South Korea,L0B,VARREL,VL,Japan,5,Recon,Sova,Gekko,Skye,20,356,275,134,1.29,1.78,229,17.8,13.7,6.7,Japanese,Korean,
Japan,LBY,Reckoning Esports,RGE,South Asia,5,Smoker,Omen,Brimstone,Viper,6,72,88,43,0.81,1.3,177,12.0,14.6,7.1,Japanese,,
United Kingdom,LEW,JiJieHao BONK,JJH,Oceania,4,Entry,Jett,Raze,,19,343,255,78,1.34,1.65,247,18.0,13.4,4.1,English,,
Thailand,Laz,Team NKT,NKT,Thailand,5,Anchor,Cypher,Viper,Killjoy,17,232,219,86,1.05,1.45,187,13.6,12.8,5.0,Thai,,
Australia,Lazy,Peace & Love,PL,Oceania,9,Smoker,Omen,Viper,Brimstone,11,151,209,102,0.72,1.21,185,13.7,19.0,9.2,English,,
India,LeVi,MLT Esports,MLT,South Asia,7,Smoker,Viper,Omen,,5,65,83,21,0.78,1.03,190,13.0,16.6,4.2,Hindi,English,
Thailand,Leviathan,FULL SENSE,FS,Thailand,1,Smoker,Omen,Viper,,11,172,152,84,1.13,1.68,199,15.6,13.8,7.6,Thai,,
Indonesia,Lilo,Bigetron Arctic,BTR,Indonesia,4,Entry,Raze,Jett,Neon,22,348,370,81,0.94,1.15,221,15.8,16.8,3.6,Indonesian,,
Australia,Loubert,EDGE,EDGE,Oceania,7,Lurker,Omen,Killjoy,Cypher,19,221,279,139,0.79,1.29,170,11.6,14.6,7.3,English,,
Vietnam,Louboutin,Team Big BAAM,BAAM,Vietnam,5,Lurker,Killjoy,Omen,Sova,13,237,202,60,1.17,1.47,219,18.2,15.5,4.6,Vietnamese,,
Philippines,LoyDreaM,JustUs,JST,Philippines,4,Entry,Jett,Raze,Cypher,24,409,362,137,1.12,1.5,236,17.0,15.0,5.7,Filipino,English,
Russia,Lumo,SCARZ,SZ,Japan,5,Flash,Breach,KAY/O,Skye,20,296,248,222,1.19,2.08,200,14.8,12.4,11.1,Japanese,Russian,
Australia,M1kE,BOBO,BOBO,Oceania,5,Anchor,Killjoy,Cypher,Viper,15,221,210,79,1.05,1.42,203,14.7,14.0,5.2,English,,
India,MAX,Reckoning Esports,RGE,South Asia,5,Flash,Breach,Skye,Sage,6,56,94,48,0.59,1.1,156,9.3,15.6,8.0,Hindi,English,
Australia,MILKY,ARENA Internet Cafe,AIC,Oceania,2,Flash,Breach,Omen,Sage,18,214,247,155,0.86,1.49,166,11.8,13.7,8.6,English,,
Turkey,MURZA,JFT Esports,JFT,Oceania,1,Entry,Jett,Raze,Reyna,22,364,304,80,1.19,1.46,233,16.5,13.8,3.6,English,Turkish,
Indonesia,Madelyn,THE HERO DETA,THD,Indonesia,5,Recon,Sova,Gekko,Fade,24,321,310,166,1.03,1.57,185,13.3,12.9,6.9,Indonesian,,
New Zealand,MaiShiu,FOCUSGG,FOC,Oceania,3,Recon,Fade,Sova,,19,266,273,126,0.97,1.43,196,14.0,14.3,6.6,English,Maori,
India,Makaveli,Orangutan,OGS,South Asia,4,Lurker,Omen,Viper,Yoru,12,136,150,80,0.9,1.44,176,11.3,12.5,6.6,Hindi,English,
South Korea,Manggong,VEC,VEC,South Korea,5,Lurker,Omen,Cypher,Viper,21,298,326,120,0.91,1.28,185,14.1,15.5,5.7,Korean,,
Philippines,Markyyy,Oasis Gaming,OAS,Philippines,3,Smoker,Viper,Jett,Sova,23,419,328,158,1.27,1.75,227,18.2,14.2,6.8,Filipino,English,
India,Mast3r,Alternate Realities,AR,South Asia,7,Anchor,Brimstone,Cypher,Killjoy,6,62,92,23,0.67,0.92,152,10.3,15.3,3.8,Hindi,English,
Australia,McKinley,ARENA Internet Cafe,AIC,Oceania,2,Recon,Sova,Skye,,18,230,243,122,0.94,1.44,183,12.7,13.5,6.7,English,,
Australia,Minimise,JiJieHao BONK,JJH,Oceania,4,Flash,KAY/O,Gekko,Breach,19,243,274,158,0.88,1.46,173,12.7,14.4,8.3,English,,
Vietnam,Moef,LAZY,LAZY,Vietnam,5,Entry,Jett,Raze,Reyna,13,209,201,32,1.03,1.19,235,16.0,15.4,2.4,Vietnamese,,
Philippines,Mojer,NAOS Esports,NAOS,Philippines,1,Entry,Raze,Jett,Neon,28,506,434,139,1.16,1.48,253,18.0,15.5,4.9,Filipino,English,
Brunei,Mojo,NEXGA,NXGA,Malaysia and Singapore,5,Flash,Breach,Skye,Sova,19,193,283,183,0.68,1.32,147,10.1,14.8,9.6,English,Malay,
Malaysia,Moosey,PDF,PDF,Malaysia and Singapore,8,Flex,Iso,Phoenix,Jett,16,233,275,79,0.84,1.13,190,14.5,17.1,4.9,English,Malay,
South Korea,Moves,SLT,SLT,South Korea,4,Recon,Fade,KAY/O,Breach,23,369,357,205,1.03,1.6,210,16.0,15.5,8.9,Korean,,
Japan,MrTenzouEz,SCARZ,SZ,Japan,5,Recon,Sova,Gekko,Sage,20,276,276,117,1.0,1.42,185,13.8,13.8,5.8,Japanese,,
Australia,Myth,FOCUSGG,FOC,Oceania,3,Smoker,Omen,Brimstone,Sage,19,269,272,185,0.98,1.66,192,14.1,14.3,9.7,English,,
Taiwan,N11,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Recon,KAY/O,Sova,Gekko,22,307,324,155,0.94,1.42,196,13.9,14.7,7.0,Mandarin,,
Philippines,N1ER,Tyrant Esports,TYR,Philippines,9,Entry,Jett,Raze,Sage,20,315,350,70,0.9,1.1,206,15.7,17.5,3.5,Filipino,English,
Thailand,NIZ,Santa Gang,SG,Thailand,5,Recon,Sova,Gekko,Viper,17,238,240,86,0.99,1.35,185,14.0,14.1,5.0,Thai,,
Australia,NOVAE,Tiny Turtle Squad,TTS,Oceania,9,Entry,Jett,Raze,,11,218,157,43,1.38,1.66,272,19.8,14.2,3.9,English,,
South Korea,NakJi,FearX,FOX,South Korea,8,Flash,Gekko,Raze,KAY/O,17,222,279,123,0.79,1.23,180,13.0,16.4,7.2,Korean,,
Indonesia,Nakya,Elevate (American team),ELV,Malaysia and Singapore,3,Entry,Raze,Jett,Reyna,26,477,434,88,1.09,1.3,249,18.3,16.6,3.3,English,Malay,Indonesian
Vietnam,NamGoku,CyberKing Esports,CKE,Vietnam,4,Recon,Sova,Raze,Omen,15,163,234,56,0.69,0.93,161,10.8,15.6,3.7,Vietnamese,,
Taiwan,Nasty,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Entry,Jett,Raze,Cypher,20,373,308,63,1.21,1.41,255,18.6,15.4,3.1,Mandarin,,
Indonesia,Nay,Cynical,CNL,Indonesia,5,Anchor,Cypher,Sova,Viper,17,215,265,56,0.81,1.02,174,12.6,15.5,3.2,Indonesian,,
Indonesia,NcSlasher,BOOM Esports,BME,Indonesia,1,Recon,KAY/O,Fade,Gekko,28,365,383,288,0.95,1.7,184,13.0,13.6,10.2,Indonesian,,
Philippines,Nexi,NAOS Esports,NAOS,Philippines,1,Recon,KAY/O,Viper,Sova,28,404,398,218,1.01,1.56,193,14.4,14.2,7.7,Filipino,English,
Vietnam,Nh0zKon,Unicorn Cyber,UNC,Vietnam,7,Recon,Sova,Gekko,Viper,13,161,212,72,0.75,1.09,175,12.3,16.3,5.5,Vietnamese,,
Vietnam,Nhatthong2k,Team Big BAAM,BAAM,Vietnam,5,Entry,Jett,Raze,Iso,17,298,287,63,1.03,1.25,234,17.5,16.8,3.7,Vietnamese,,
Thailand,Niffy,Sharper Esport,SPE,Thailand,4,Entry,Raze,Viper,Jett,23,403,343,100,1.17,1.46,245,17.5,14.9,4.3,Thai,,
Indonesia,No1syboy,THE HERO DETA,THD,Indonesia,5,Flash,Breach,Killjoy,KAY/O,24,318,354,151,0.89,1.32,183,13.2,14.7,6.2,Indonesian,,
New Zealand,Noir,Koopa Troopas,KTS,Oceania,9,Anchor,Killjoy,Harbor,Cypher,8,107,131,55,0.81,1.23,172,13.3,16.3,6.8,English,Maori,
Australia,Nozz,BOBO,BOBO,Oceania,5,Smoker,Omen,Viper,Fade,15,213,209,117,1.01,1.57,193,14.2,13.9,7.8,English,,
Indonesia,Nythan,ARF TEAM,ARF,Indonesia,3,Flash,Breach,Skye,Gekko,23,334,332,156,1.0,1.47,191,14.5,14.4,6.7,Indonesian,,
Mongolia,Orgil,Team Kobolds,KBLD,Hong Kong and Taiwan,3,Flash,Breach,KAY/O,Sova,29,407,490,225,0.83,1.28,185,14.0,16.8,7.7,Mandarin,Khalkha Mongol,
Philippines,Owen q t,OLD STINKY CAT,MEOW,Philippines,5,Smoker,Omen,Viper,Brimstone,17,240,255,152,0.94,1.53,202,14.1,15.0,8.9,Filipino,English,
Vietnam,P1na,Team Big BAAM,BAAM,Vietnam,5,Smoker,Viper,Omen,,17,260,257,135,1.01,1.53,202,15.2,15.1,7.9,Vietnamese,,
Thailand,PTC,FULL SENSE,FS,Thailand,1,Recon,KAY/O,Breach,Fade,11,171,148,94,1.15,1.79,210,15.5,13.4,8.5,Thai,,
Indonesia,PadangRice,DIS Esports,DIS,Indonesia,7,Lurker,Viper,Killjoy,Omen,11,137,160,59,0.85,1.22,185,12.4,14.5,5.3,Indonesian,,
Vietnam,Palette,Crocodile Tear,TEAR,Vietnam,8,Lurker,Omen,Viper,Killjoy,9,112,124,70,0.9,1.46,182,12.4,13.7,7.7,Vietnamese,,
Philippines,PapiChulo,NAOS Esports,NAOS,Philippines,1,Smoker,Omen,Viper,Brimstone,28,456,341,237,1.33,2.03,209,16.2,12.1,8.4,Filipino,English,
India,Paradox,Revenant Esports,RVNT,South Asia,1,Entry,Raze,Harbor,Breach,15,208,228,116,0.91,1.42,190,13.8,15.2,7.7,Hindi,English,
Philippines,PatMen,ZOL Esports,ZOL,Philippines,2,Recon,KAY/O,Skye,Viper,37,656,551,231,1.19,1.6,243,17.7,14.8,6.2,Filipino,English,
Japan,Pepper,Northeption,NTH,Japan,8,Flash,Sova,Breach,Gekko,8,93,125,29,0.74,0.97,157,11.6,15.6,3.6,Japanese,,
South Korea,Persia,Sin Prisa Gaming,SPG,South Korea,1,Smoker,Omen,Brimstone,Clove,26,426,315,268,1.35,2.2,222,16.3,12.1,10.3,Korean,,
Thailand,PinOcChiOs,Sharper Esport,SPE,Thailand,4,Flash,Breach,Gekko,Viper,24,322,363,167,0.88,1.34,184,13.4,15.1,6.9,Thai,,
South Korea,Pkm,Nongshim RedForce,NS,South Korea,2,Entry,Raze,Yoru,Neon,34,560,529,160,1.05,1.36,221,16.4,15.5,4.7,Korean,,
Taiwan,Popoman4Q,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Smoker,Sova,Viper,Omen,22,255,299,167,0.85,1.41,166,11.5,13.5,7.5,Mandarin,,
Thailand,Potter,XERXIA,XIA,Thailand,3,Entry,Raze,Jett,,27,501,449,95,1.11,1.32,247,18.5,16.6,3.5,Thai,,
Vietnam,Pr0digy,Rapid Lofi,RLF,Vietnam,1,Smoker,Brimstone,Sage,Iso,15,228,233,90,0.97,1.36,210,15.2,15.5,6.0,Vietnamese,,
Australia,Prophet,EDGE,EDGE,Oceania,7,Entry,Jett,Raze,Reyna,13,217,201,45,1.07,1.3,233,16.6,15.4,3.4,English,,
Taiwan,QueYa,ROA,ROA,Hong Kong and Taiwan,5,Flash,Gekko,Sova,Skye,18,220,308,123,0.71,1.11,163,12.2,17.1,6.8,Mandarin,,
Australia,R3GEN,Tiny Turtle Squad,TTS,Oceania,9,Recon,Sova,Gekko,Sage,11,123,165,65,0.74,1.13,165,11.1,15.0,5.9,English,,
Philippines,RAMEN,JFT Esports,JFT,Oceania,1,Anchor,Killjoy,Cypher,Gekko,24,337,292,112,1.15,1.53,193,14.0,12.1,4.6,English,Filipino,
New Zealand,RESLYDE,Peace & Love,PL,Oceania,9,Entry,Sova,Raze,Reyna,12,191,210,62,0.9,1.2,199,15.9,17.5,5.1,English,Maori,
Indonesia,RIZKYMD,Le Crapaud,LCR,Indonesia,8,Flash,KAY/O,Breach,Skye,13,192,213,128,0.9,1.5,195,14.7,16.3,9.8,Indonesian,,
Thailand,Raigard,Santa Gang,SG,Thailand,5,Smoker,Omen,Viper,,17,242,259,113,0.93,1.37,198,14.2,15.2,6.6,Thai,,
Taiwan,Rainy,ONE Team,ONE,Hong Kong and Taiwan,2,Recon,Fade,Omen,Gekko,27,367,352,213,1.04,1.64,178,13.5,13.0,7.8,Mandarin,,
Indonesia,Rapheleen,Le Crapaud,LCR,Indonesia,8,Recon,Sova,Raze,Gekko,15,220,251,96,0.87,1.25,201,14.6,16.7,6.4,Indonesian,,
India,Rawfiul,MLT Esports,MLT,South Asia,7,Anchor,Cypher,Skye,Jett,5,73,75,18,0.97,1.21,189,14.6,15.0,3.6,Hindi,English,
Thailand,Reality,Sharper Esport,SPE,Thailand,4,Anchor,Cypher,Gekko,Viper,23,306,339,107,0.9,1.21,187,13.3,14.7,4.6,Thai,,
Singapore,RedKoh,Elevate (American team),ELV,Malaysia and Singapore,3,Recon,KAY/O,Breach,Fade,26,384,374,241,1.02,1.67,197,14.7,14.3,9.2,English,Malay,Mandarin
South Korea,RedLight,SLT,SLT,South Korea,4,Lurker,Viper,Cypher,Killjoy,16,249,246,89,1.01,1.37,198,15.5,15.3,5.5,Korean,,
Japan,Reita,Murash gaming,MRSH,Japan,4,Anchor,Killjoy,Clove,Skye,22,313,378,106,0.82,1.1,193,14.2,17.1,4.8,Japanese,,
Philippines,Repulsive,JustUs,JST,Philippines,4,Smoker,Omen,Brimstone,,18,228,252,199,0.9,1.69,182,12.6,14.0,11.0,Filipino,English,
Singapore,Reverie,Kizuna Esports,KZ,Malaysia and Singapore,5,Recon,Sova,Skye,Gekko,18,297,272,105,1.09,1.47,205,16.5,15.1,5.8,English,Malay,Mandarin
India,Rio,Orangutan,OGS,South Asia,4,Flash,Gekko,Sova,,12,114,154,66,0.74,1.16,145,9.5,12.8,5.5,Hindi,English,
Malaysia,Riza,Elevate (American team),ELV,Malaysia and Singapore,3,Anchor,Cypher,Sova,Viper,26,410,372,128,1.1,1.44,205,15.7,14.3,4.9,English,Malay,
India,RvK,Reckoning Esports,RGE,South Asia,5,Entry,Raze,Jett,,6,88,95,15,0.92,1.08,213,14.6,15.8,2.5,Hindi,English,
Taiwan,S1Mon,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Smoker,Omen,Iso,Jett,13,234,184,90,1.27,1.76,244,18.0,14.1,6.9,Mandarin,,
Indonesia,SCar,ARF TEAM,ARF,Indonesia,3,Smoker,Omen,Viper,Brimstone,23,287,324,206,0.88,1.52,170,12.4,14.0,8.9,Indonesian,,
Indonesia,SEVERiNE,Bigetron Arctic,BTR,Indonesia,4,Recon,KAY/O,Breach,Fade,22,291,333,189,0.87,1.44,183,13.2,15.1,8.5,Indonesian,,
Taiwan,SFVV,ROA,ROA,Hong Kong and Taiwan,5,Flash,Breach,,,1,12,14,11,0.85,1.64,170,12.0,14.0,11.0,Mandarin,,
Singapore,SHINSEI,Kizuna Esports,KZ,Malaysia and Singapore,5,Entry,Jett,Cypher,Iso,18,375,320,49,1.17,1.32,254,20.8,17.7,2.7,English,Malay,Mandarin
South Korea,SID,Nongshim RedForce,NS,South Korea,2,Entry,Jett,Viper,Gekko,34,546,492,162,1.1,1.43,214,16.0,14.4,4.7,Korean,,
Philippines,SLY,Avernus Esports,AVN,Philippines,7,Smoker,Viper,Killjoy,Harbor,9,75,145,35,0.51,0.75,120,8.3,16.1,3.8,Filipino,English,
Singapore,STYRON,Disguised,DSG,Malaysia and Singapore,1,Recon,Sova,Skye,Fade,24,337,293,183,1.15,1.77,184,14.0,12.2,7.6,English,Malay,Mandarin
International,Saitama,Corn Dawgs,CD,Oceania,15,Smoker,Omen,,,2,25,30,17,0.83,1.4,159,12.5,15.0,8.5,English,,
Philippines,Sanji,Subversive,SVR,Philippines,10,Smoker,Omen,Brimstone,Sova,11,95,183,70,0.51,0.9,140,8.6,16.6,6.3,Filipino,English,
South Korea,Sasuke,SUPERFECT Esports,SPF,South Korea,7,Entry,Jett,Raze,Neon,11,168,173,39,0.97,1.19,208,15.2,15.7,3.5,Korean,,
Philippines,SecondLove,JustUs,JST,Philippines,4,Anchor,Cypher,Killjoy,Fade,24,332,339,142,0.97,1.39,191,13.8,14.1,5.9,Filipino,English,
Taiwan,SecreT3,ONE Team,ONE,Hong Kong and Taiwan,2,Smoker,Omen,Sova,,13,165,183,64,0.9,1.25,176,12.6,14.0,4.9,Mandarin,,
South Korea,Secret,VEC,VEC,South Korea,5,Flash,Skye,Breach,Gekko,21,291,312,161,0.93,1.44,189,13.8,14.8,7.6,Korean,,
South Korea,SeliG,Dplus,DK,South Korea,3,Entry,Jett,Raze,Yoru,25,437,405,83,1.07,1.28,224,17.4,16.2,3.3,Korean,,
International,Selin,Da Feng Gou,DFG,Hong Kong and Taiwan,8,Anchor,Killjoy,Jett,KAY/O,14,204,225,76,0.9,1.24,200,14.5,16.0,5.4,Mandarin,English,
South Korea,Seoldam,Riddle,RID,Japan,1,Entry,Jett,Gekko,Yoru,22,415,326,89,1.27,1.54,235,18.8,14.8,4.0,Japanese,Korean,
Thailand,Seph1roth,Made in Thailand,MITH,Thailand,1,Lurker,Viper,Killjoy,Cypher,24,390,323,119,1.2,1.57,214,16.2,13.4,4.9,Thai,,
Vietnam,Shaun,CyberKing Esports,CKE,Vietnam,4,Anchor,Killjoy,Cypher,Sage,15,182,200,41,0.91,1.11,171,12.1,13.3,2.7,Vietnamese,,
International,Sheny9,Da Feng Gou,DFG,Hong Kong and Taiwan,8,Anchor,Killjoy,Viper,Cypher,16,197,259,66,0.76,1.01,163,12.3,16.1,4.1,Mandarin,English,
International,Shinobu,Xu Gang,XG,Oceania,12,Smoker,Omen,Viper,,7,69,112,59,0.61,1.14,148,9.8,16.0,8.4,English,,
Australia,Shinon,Bandits ESC,BNDT,Oceania,12,Smoker,Viper,Omen,,7,115,96,37,1.19,1.58,230,16.4,13.7,5.2,English,,
Indonesia,Shiro,BOOM Esports,BME,Indonesia,1,Recon,Sova,Breach,Viper,28,486,358,271,1.35,2.11,235,17.3,12.7,9.6,Indonesian,,
Taiwan,ShuXz,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Entry,Reyna,Omen,Raze,11,140,168,65,0.83,1.22,181,12.7,15.2,5.9,Mandarin,,
Australia,Sinaway,ARENA Internet Cafe,AIC,Oceania,2,Anchor,Killjoy,Cypher,Viper,18,311,249,68,1.24,1.52,233,17.2,13.8,3.7,English,,
Thailand,Siraphop,XERXIA,XIA,Thailand,3,Recon,Gekko,Sova,Fade,27,390,414,188,0.94,1.39,183,14.4,15.3,6.9,Thai,,
India,SkRossi,Revenant Esports,RVNT,South Asia,1,Entry,Jett,Chamber,Gekko,15,265,220,53,1.2,1.44,232,17.6,14.6,3.5,Hindi,English,
Thailand,SoCoolSoDa,Team NKT,NKT,Thailand,5,Recon,KAY/O,Omen,Sova,17,250,234,117,1.06,1.56,207,14.7,13.7,6.8,Thai,,
Vietnam,SomeThai,Team Big BAAM,BAAM,Vietnam,5,Recon,Sova,Skye,Fade,11,180,192,71,0.93,1.3,210,16.3,17.4,6.4,Vietnamese,,
Philippines,Sovano,Rank El Cuties,QT,Philippines,8,Entry,Raze,Jett,Omen,12,213,197,42,1.08,1.29,240,17.7,16.4,3.5,Filipino,English,
Taiwan,SpiritZ,Five Ace e-Sports,FA,Hong Kong and Taiwan,4,Entry,Jett,Raze,Iso,24,488,406,86,1.2,1.41,276,20.3,16.9,3.5,Mandarin,,
Indonesia,Splash,NEXGA,NXGA,Malaysia and Singapore,5,Entry,Jett,Raze,Iso,19,368,300,79,1.22,1.49,265,19.3,15.7,4.1,English,Malay,Indonesian
Philippines,Stazy,JustUs,JST,Philippines,4,Flash,KAY/O,Skye,Gekko,8,87,119,49,0.73,1.14,167,10.8,14.8,6.1,Filipino,English,
Pakistan,Strame,EDGE,EDGE,Oceania,7,Anchor,Cypher,Sova,Viper,6,84,81,23,1.03,1.32,180,14.0,13.5,3.8,English,Urdu,
Vietnam,Suka,Rapid Lofi,RLF,Vietnam,1,Recon,Sova,KAY/O,Breach,20,327,297,160,1.1,1.63,218,16.3,14.8,8.0,Vietnamese,,
South Korea,SungJin,SLT,SLT,South Korea,4,Anchor,Killjoy,Cypher,Sage,17,274,221,74,1.23,1.57,204,16.1,13.0,4.3,Korean,,
Japan,SyouTa,FENNEL,FL,Japan,2,Entry,Raze,Jett,Viper,30,538,457,106,1.17,1.4,225,17.9,15.2,3.5,Japanese,,
Japan,TENNN,FENNEL,FL,Japan,2,Anchor,Cypher,Killjoy,Viper,30,426,464,100,0.91,1.13,175,14.2,15.4,3.3,Japanese,,
Vietnam,Takoyaki,Crocodile Tear,TEAR,Vietnam,8,Flash,Breach,Viper,,2,21,21,6,1.0,1.28,168,10.5,10.5,3.0,Vietnamese,,
India,Techno,True Rippers Esports,TRS,South Asia,2,Smoker,Viper,Omen,Sova,18,276,241,130,1.14,1.68,217,15.3,13.3,7.2,Hindi,English,
Japan,Tempura,Northeption,NTH,Japan,8,Lurker,Viper,Omen,Cypher,17,208,279,85,0.74,1.05,169,12.2,16.4,5.0,Japanese,,
Vietnam,Ting2k5,Team Flash,FPT,Vietnam,3,Entry,Jett,Cypher,Gekko,15,237,173,51,1.36,1.66,214,15.8,11.5,3.4,Vietnamese,,
Japan,Tonbo,Murash gaming,MRSH,Japan,4,Recon,Sova,Gekko,Cypher,22,317,344,99,0.92,1.2,187,14.4,15.6,4.5,Japanese,,
Singapore,Toy,PDF,PDF,Malaysia and Singapore,8,Flash,Skye,Omen,Gekko,16,235,242,101,0.97,1.38,190,14.6,15.1,6.3,English,Malay,Mandarin
India,Trinxty,Orangutan,OGS,South Asia,4,Entry,Jett,Raze,,12,196,172,41,1.13,1.37,249,16.3,14.3,3.4,Hindi,English,
Vietnam,Tripciew,Rapid Lofi,RLF,Vietnam,1,Lurker,Viper,Omen,Cypher,20,272,280,127,0.97,1.42,192,13.6,14.0,6.3,Vietnamese,,
Taiwan,Tsanyu,Hungkuang Falcon,HKUF,Hong Kong and Taiwan,7,Entry,Jett,Raze,,15,267,255,55,1.04,1.26,229,17.8,17.0,3.6,Mandarin,,
Vietnam,Tyson1,Unicorn Cyber,UNC,Vietnam,7,Anchor,Cypher,Killjoy,Skye,13,165,202,70,0.81,1.16,167,12.6,15.5,5.3,Vietnamese,,
Thailand,Umaruchans,XOXO-01,XOXO,Thailand,8,Flash,Gekko,Killjoy,Skye,15,223,226,60,0.98,1.25,208,14.8,15.0,4.0,Thai,,
Taiwan,Unhappy,Hungkuang Falcon,HKUF,Hong Kong and Taiwan,7,Anchor,Killjoy,Cypher,Deadlock,15,246,224,39,1.09,1.27,206,16.4,14.9,2.6,Mandarin,,
Hong Kong,Uta,Oblivion Force,OF,Hong Kong and Taiwan,1,Lurker,Jett,Cypher,Omen,29,519,377,144,1.37,1.75,240,17.8,13.0,4.9,Mandarin,Cantonese,English
Indonesia,ValdyN,Alter Ego,AE,Indonesia,2,Flash,Breach,KAY/O,Skye,24,361,345,172,1.04,1.54,198,15.0,14.3,7.1,Indonesian,,
India,Vibhor,Medal Esports,MDL,South Asia,5,Lurker,Omen,Viper,Cypher,7,100,99,46,1.01,1.47,205,14.2,14.1,6.5,Hindi,English,
Vietnam,Viness,Team Flash,FPT,Vietnam,3,Smoker,Omen,Viper,Brimstone,15,195,192,124,1.01,1.66,198,13.0,12.8,8.2,Vietnamese,,
Vietnam,Vizz,Team Big BAAM,BAAM,Vietnam,5,Flash,KAY/O,Breach,Skye,10,82,145,100,0.56,1.25,124,8.2,14.5,10.0,Vietnamese,,
South Korea,Vow,VEC,VEC,South Korea,5,Smoker,Viper,Sova,Gekko,7,81,121,43,0.66,1.02,166,11.5,17.2,6.1,Korean,,
Taiwan,W1nner,ONE Team,ONE,Hong Kong and Taiwan,2,Anchor,Killjoy,Cypher,Sova,27,428,395,118,1.08,1.38,205,15.8,14.6,4.3,Mandarin,,
Australia,WATER,Peace & Love,PL,Oceania,9,Entry,Phoenix,Reyna,Jett,12,178,214,51,0.83,1.07,184,14.8,17.8,4.2,English,,
South Korea,Wavy,VEC,VEC,South Korea,5,Recon,Skye,Fade,,3,23,51,22,0.45,0.88,125,7.6,17.0,7.3,Korean,,
Taiwan,Weber,Five Ace e-Sports,FA,Hong Kong and Taiwan,4,Recon,Sova,Fade,KAY/O,12,150,180,90,0.83,1.33,173,12.5,15.0,7.5,Mandarin,,
New Zealand,Wiqzu,Bandits ESC,BNDT,Oceania,12,Anchor,Cypher,Deadlock,Gekko,7,83,98,21,0.84,1.06,161,11.8,14.0,3.0,English,Maori,
New Zealand,WisdomCats,Tiny Turtle Squad,TTS,Oceania,9,Smoker,Omen,Viper,,11,160,162,60,0.98,1.35,208,14.5,14.7,5.4,English,Maori,
South Korea,Wolverine,Northeption,NTH,Japan,8,Entry,Jett,Raze,Yoru,17,236,293,58,0.8,1.0,190,13.8,17.2,3.4,Japanese,Korean,
Malaysia,Xan,LaZe,LZE,Malaysia and Singapore,4,Entry,Raze,Jett,Neon,25,415,401,120,1.03,1.33,231,16.6,16.0,4.8,English,Malay,
Japan,Xdll,FENNEL,FL,Japan,2,Recon,Sova,Fade,Sage,30,497,478,168,1.03,1.39,222,16.5,15.9,5.6,Japanese,,
Taiwan,XiaoFeng,ROA,ROA,Hong Kong and Taiwan,5,Entry,Raze,Jett,Clove,18,263,331,83,0.79,1.04,204,14.6,18.3,4.6,Mandarin,,
South Korea,Xross,Nongshim RedForce,NS,South Korea,2,Lurker,Killjoy,Yoru,Astra,34,542,448,214,1.2,1.68,209,15.9,13.1,6.2,Korean,,
Philippines,Xty,Avernus Esports,AVN,Philippines,7,Flash,Gekko,Killjoy,Breach,19,238,279,108,0.85,1.24,178,12.5,14.6,5.6,Filipino,English,
Taiwan,XyuS,ONE Team,ONE,Hong Kong and Taiwan,2,Entry,Raze,Jett,Neon,27,529,383,99,1.38,1.63,259,19.5,14.1,3.6,Mandarin,,
Vietnam,YESicaN,Fancy United Esports,FCY,Vietnam,2,Recon,KAY/O,,,12,190,140,113,1.35,2.16,240,15.8,11.6,9.4,Vietnamese,,
