country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Saudi Arabia,GCC and Iraq,Arabic,,,LIQUID,Support,FALSE,4th,The Ultimates,TU,Breach,Skye,Gekko,8,99,113,58,0.87,1.38,161,12.3,14.1,7.2
Turkey,Turkey,Turkish,,,Lar0k,Support,FALSE,1st,Pcific Esports,PCF,Gekko,KAY/O,Breach,34,517,450,276,1.14,1.76,204,15.2,13.2,8.1
United Kingdom,Portugal,English,,,Leare,Entry,FALSE,4th,Impulse Gaming Warriors,IGW,Jett,Gekko,Raze,18,359,250,52,1.43,1.64,274,19.9,13.8,2.8
Portugal,Portugal,Portuguese,Mirandese,,Lekyy,Smoker,FALSE,7th,FUZOS,FUZO,Viper,Cypher,Omen,13,155,223,64,0.69,0.98,149,11.9,17.1,4.9
Germany,DACH,German,,,Leosen,Entry,FALSE,3rd,Eintracht Frankfurt,SGE,Raze,Jett,Neon,29,514,490,99,1.04,1.25,217,17.7,16.8,3.4
United Kingdom,North EMEA,English,,,Lime,Flex,FALSE,2nd,SweetNSour,SNS,Cypher,Viper,,3,59,48,10,1.22,1.43,234,19.6,16,3.3
Italy,Italy,Italian,,,Limp,Flex,FALSE,8th,Axolotl,AXL,Omen,Raze,Killjoy,9,127,143,44,0.88,1.19,189,14.1,15.8,4.8
Germany,DACH,German,,,Linus,Flex,FALSE,6th,DIVIZON,DIV,Omen,Cypher,,24,388,397,170,0.97,1.4,214,16.1,16.5,7
Egypt,Levant and North Africa,Arabic,,,Loco,Support,FALSE,7th,top gz,TOPG,Breach,Viper,KAY/O,27,347,415,194,0.83,1.3,184,12.8,15.3,7.1
Turkey,Turkey,Turkish,,,Loita,Smoker,FALSE,1st,Pcific Esports,PCF,Omen,Viper,,34,528,497,277,1.06,1.61,207,15.5,14.6,8.1
United Kingdom,DACH,English,,,Louitan,Flex,FALSE,10th,Ovation eSports,OVA,Viper,KAY/O,Sage,21,282,315,122,0.89,1.28,194,13.4,15,5.8
United Kingdom,DACH,English,,,Luzuh,Entry,FALSE,10th,Ovation eSports,OVA,Jett,Raze,Chamber,21,296,332,67,0.89,1.09,202,14,15.8,3.1
Turkey,Turkey,Turkish,,,LêwN,Entry,FALSE,4th,Galatasaray Esports,GS,Jett,Raze,Iso,27,547,459,107,1.19,1.42,260,20.2,17,3.9
Netherlands,France,French,Dutch,,MAGiK,Smoker,FALSE,1st,Joblife,JL,Omen,Brimstone,Killjoy,25,384,344,172,1.11,1.61,210,15.3,13.7,6.8
France,France,French,,,MARCTYLINHO,Smoker,FALSE,8th,DVM,DVM,Omen,Deadlock,Astra,19,263,261,115,1,1.44,187,13.8,13.7,6
Romania,DACH,Romanian,,,MCD,Anchor,FALSE,6th,DIVIZON,DIV,Cypher,Killjoy,Viper,19,293,255,69,1.14,1.41,182,15.4,13.4,3.6
Turkey,Turkey,Turkish,,,MERZ,Smoker,FALSE,8th,İstanbul Wildcats,IW,Omen,KAY/O,Viper,21,235,342,181,0.68,1.21,158,11.1,16.2,8.6
Poland,North EMEA,Polish,,,MOLSI,Support,TRUE,1st,Apeks,APK,Sage,Breach,Sova,22,305,279,169,1.09,1.69,203,13.8,12.6,7.6
Qatar,GCC and Iraq,Arabic,,,Mabuchi,Entry,FALSE,3rd,Underground Gaming,UG,Raze,Jett,Neon,34,547,508,106,1.07,1.28,224,16,14.9,3.1
Egypt,Levant and North Africa,Arabic,,,Magneto,Smoker,FALSE,7th,top gz,TOPG,Omen,Sage,Clove,27,322,416,146,0.77,1.12,179,11.9,15.4,5.4
Germany,DACH,German,,,Magnus,Entry,FALSE,5th,ALTERNATE aTTaX,ATN,Raze,Jett,Neon,27,429,378,77,1.13,1.33,223,15.8,14,2.8
Scotland,North EMEA,English,Scots,,Marky,Entry,FALSE,6th,Metizport,MZP,Raze,Sage,Jett,10,155,169,40,0.91,1.15,207,15.5,16.9,4
Turkey,Turkey,Turkish,,,Masic,Entry,FALSE,3rd,Galakticos,GAL,Jett,Raze,Chamber,35,520,518,158,1,1.3,186,14.8,14.8,4.5
Belgium,North EMEA,Dutch,French,German,MaximN,Support,FALSE,5th,NXT,NXT,Fade,Sova,Deadlock,19,251,272,134,0.92,1.41,183,13.2,14.3,7
Sweden,DACH,Swedish,,,Meddo,Flex,FALSE,7th,SK Gaming,SK,Breach,Viper,Killjoy,20,273,289,156,0.94,1.48,170,13.6,14.4,7.8
Spain,Spain,Spanish,,,Michel,Entry,FALSE,7th,ZETA (Spanish team),ZETA,Raze,Jett,,14,226,238,44,0.94,1.13,232,16.1,17,3.1
Poland,Italy,Italian,Polish,,Mickebwoy,Support,FALSE,8th,Axolotl,AXL,Fade,,,2,30,19,15,1.57,2.36,178,15,9.5,7.5
Spain,Spain,Spanish,,,MikaEl,Support,FALSE,6th,FALKE ESPORTS,FLK,Sova,Skye,Gekko,17,172,280,93,0.61,0.94,152,10.1,16.4,5.4
Czechia,East EMEA,Czech,,,Minny,Anchor,FALSE,1st,GoNext Esports,GN,Killjoy,Gekko,Cypher,31,468,386,122,1.21,1.52,202,15,12.4,3.9
Saudi Arabia,GCC and Iraq,Arabic,,,Moh,Smoker,FALSE,1st,Team Falcons,FLC,Omen,Chamber,Astra,33,529,413,162,1.28,1.67,225,16,12.5,4.9
Italy,Italy,Italian,,,Morphiius,Entry,FALSE,8th,Axolotl,AXL,Yoru,Omen,Jett,12,171,201,76,0.85,1.22,192,14.2,16.7,6.3
Italy,Italy,Italian,,,Morphiw0w,Flex,FALSE,3rd,Outplayed,OP,Viper,Skye,Deadlock,20,243,300,170,0.81,1.37,177,12.1,15,8.5
Slovenia,Levant and North Africa,Slovenian,,,Mot1on,Support,FALSE,5th,Gamax Esports,GMX,Fade,Sova,Breach,33,472,437,243,1.08,1.63,196,14.3,13.2,7.3
Germany,DACH,German,,,Movi,Support,FALSE,8th,Permitta Unicorns,PXU,Breach,Sova,Omen,20,263,316,143,0.83,1.28,166,13.1,15.8,7.1
Turkey,Spain,Spanish,Turkish,,Mykoz,Smoker,FALSE,8th,Imperium Gaming,IMP,Viper,Omen,Sova,10,157,165,42,0.95,1.2,228,15.7,16.5,4.2
Italy,Italy,Italian,,,N A I S,Support,FALSE,2nd,NOVO Esports,NOVO,Sova,Cypher,Gekko,22,277,274,113,1.01,1.42,186,12.5,12.4,5.1
Poland,East EMEA,Polish,,,NINJA,Smoker,FALSE,5th,Chipi Chapa's,CHCH,Omen,Viper,,25,379,345,141,1.09,1.5,195,15.1,13.8,5.6
France,Portugal,French,,,NRK,Anchor,FALSE,6th,Hurricane Of Feathers,HOF,Viper,Killjoy,Cypher,11,155,168,74,0.92,1.36,197,14,15.2,6.7
Italy,Italy,Italian,,,Nade,Entry,FALSE,3rd,Outplayed,OP,Jett,Raze,,7,100,115,26,0.86,1.09,192,14.2,16.4,3.7
Saudi Arabia,GCC and Iraq,Arabic,,,Naifma7,Entry,FALSE,8th,Vision Esports,VIS,Jett,Raze,Sova,19,306,306,53,1,1.17,223,16.1,16.1,2.7
Tunisia,Levant and North Africa,Arabic,,,Nartzie,Support,FALSE,8th,Skulls Esports,SKUL,Sova,Cypher,Skye,18,168,248,81,0.67,1,154,9.3,13.7,4.5
Saudi Arabia,GCC and Iraq,Arabic,,,Nawaf,Support,FALSE,7th,Dragons Esports,DRGN,Fade,Sova,KAY/O,29,386,432,171,0.89,1.28,182,13.3,14.8,5.8
Poland,Portugal,Polish,,,NeFi,Support,FALSE,3rd,Ex0Tik Gaming,EX0,Gekko,Skye,Viper,15,181,188,74,0.96,1.35,189,12,12.5,4.9
Kuwait,GCC and Iraq,Arabic,,,Near,Support,FALSE,2nd,Unity Esports,UNT,Sova,Fade,Viper,41,577,572,242,1,1.43,187,14,13.9,5.9
Spain,Spain,Spanish,,,Negradas,Anchor,FALSE,7th,ZETA (Spanish team),ZETA,Phoenix,Killjoy,Cypher,14,171,208,76,0.82,1.18,168,12.2,14.8,5.4
Spain,Spain,Spanish,,,Neiker,Anchor,FALSE,6th,FALKE ESPORTS,FLK,Killjoy,Cypher,,17,208,264,45,0.78,0.95,169,12.2,15.5,2.6
France,France,French,,,NeskaaS,Anchor,FALSE,2nd,Valiant,VLNT,Killjoy,Cypher,Brimstone,25,354,372,98,0.95,1.21,185,14.1,14.8,3.9
Saudi Arabia,GCC and Iraq,Arabic,,,Ninjas,Smoker,TRUE,8th,Vision Esports,VIS,Omen,Viper,Sova,21,275,333,99,0.82,1.12,175,13,15.8,4.7
France,France,French,,,NowaXxZang,Smoker,FALSE,5th,Cicadas Gaming,CG,Omen,Viper,,18,193,290,127,0.66,1.1,153,10.7,16.1,7
Czechia,East EMEA,Czech,,,Nunmeister,Flex,FALSE,6th,B8 Esports,B8,Cypher,Yoru,KAY/O,27,422,406,201,1.03,1.53,202,15.6,15,7.4
Spain,Spain,Spanish,,,Nunu,Smoker,FALSE,8th,Imperium Gaming,IMP,KAY/O,Omen,Viper,14,176,223,92,0.78,1.2,179,12.5,15.9,6.5
Germany,DACH,German,,,NyaRu,Anchor,FALSE,6th,DIVIZON,DIV,Killjoy,Jett,Cypher,3,33,40,8,0.82,1.02,143,11,13.3,2.6
Portugal,Spain,Spanish,Portuguese,Mirandese,OLIZERA,Anchor,FALSE,2nd,UCAM Esports Club,UCAM,Cypher,Killjoy,Raze,21,310,269,105,1.15,1.54,209,14.7,12.8,5
Turkey,Turkey,Turkish,,,OXMANN,Anchor,FALSE,6th,SuperMassive Esports,SUP,Cypher,Viper,Killjoy,12,202,178,57,1.13,1.45,201,16.8,14.8,4.7
France,France,French,,,OniBy,Support,FALSE,6th,Akroma,AKR,Gekko,Sova,Sage,18,236,290,108,0.81,1.18,176,13.1,16.1,6
Lithuania,North EMEA,Lithuanian,,,OzzyTK,Flex,FALSE,6th,Metizport,MZP,Viper,Skye,Iso,17,235,290,85,0.81,1.1,176,13.8,17,5
Poland,East EMEA,Polish,,,PROFEK,Smoker,FALSE,1st,GoNext Esports,GN,Omen,Viper,,31,542,369,248,1.46,2.14,239,17.4,11.9,8
Denmark,East EMEA,Danish,English,,Pa1ze,Entry,FALSE,2nd,Diamant Esports,DIA,Raze,Jett,Neon,39,699,595,125,1.17,1.38,245,17.9,15.2,3.2
Turkey,Turkey,Turkish,,,Padisah,Anchor,FALSE,4th,Galatasaray Esports,GS,Killjoy,Cypher,Brimstone,27,422,426,114,0.99,1.25,198,15.6,15.7,4.2
Slovenia,Portugal,Slovenian,,,Patix,Support,FALSE,4th,Impulse Gaming Warriors,IGW,Sova,Gekko,Sage,18,216,248,95,0.87,1.25,175,12,13.7,5.2
Turkey,Turkey,Turkish,,,Patrui,Smoker,FALSE,7th,S2G Esports,S2G,Viper,Omen,Brimstone,24,354,348,215,1.01,1.63,191,14.7,14.5,8.9
Italy,Italy,Italian,,,Pax,Entry,FALSE,7th,RTZN,RTZN,Raze,Jett,,11,156,198,36,0.78,0.96,198,14.1,18,3.2
Portugal,Portugal,Portuguese,Mirandese,,Phatt,Support,FALSE,2nd,PPP,PPP,Breach,Sage,Gekko,24,279,273,194,1.02,1.73,161,11.6,11.3,8
Serbia,East EMEA,Serbian,,,Prti,Support,FALSE,2nd,Diamant Esports,DIA,Skye,Fade,Breach,39,480,551,293,0.87,1.4,170,12.3,14.1,7.5
Sweden,North EMEA,Swedish,,,Puggy,Support,TRUE,7th,Formulation Gaming,FMG,Sova,Fade,Gekko,17,230,250,141,0.92,1.48,184,13.5,14.7,8.2
Argentina,Spain,Spanish,,,Pukytoo,Support,FALSE,7th,ZETA (Spanish team),ZETA,Omen,KAY/O,Breach,10,98,163,67,0.6,1.01,141,9.8,16.3,6.7
Spain,Spain,Spanish,,,Quick,Support,TRUE,2nd,UCAM Esports Club,UCAM,Sova,Fade,,21,280,265,108,1.05,1.46,183,13.3,12.6,5.1
Ukraine,East EMEA,Ukrainian,,,RARE,Anchor,FALSE,6th,B8 Esports,B8,Cypher,Omen,Deadlock,7,81,112,35,0.72,1.03,152,11.5,16,5
Russia,Levant and North Africa,Russian,,,Razvy,Anchor,FALSE,7th,top gz,TOPG,Killjoy,Cypher,,5,57,72,11,0.79,0.94,168,11.4,14.4,2.2
United Kingdom,North EMEA,English,,,ReQz,Entry,FALSE,5th,NXT,NXT,Raze,Sova,Jett,20,324,307,124,1.05,1.45,219,16.2,15.3,6.2
Austria,Levant and North Africa,German,,,Reapy,Entry,FALSE,7th,top gz,TOPG,Jett,Raze,,27,393,424,67,0.92,1.08,208,14.5,15.7,2.4
Israel,Italy,Italian,Hebrew,,Reason,Support,FALSE,7th,RTZN,RTZN,Sova,,,2,19,29,16,0.65,1.2,150,9.5,14.5,8
Austria,DACH,German,,,Rexon,Flex,FALSE,9th,XPERION NXT,NXT,Omen,Cypher,Skye,20,239,327,132,0.73,1.13,152,11.9,16.3,6.6
Italy,Italy,Italian,,,RickyVaila,Support,FALSE,8th,Axolotl,AXL,Viper,Fade,Gekko,12,177,183,67,0.96,1.33,188,14.7,15.2,5.5
Netherlands,France,French,Dutch,,RobbieBk,Support,FALSE,1st,Joblife,JL,Sova,Skye,Fade,25,352,336,140,1.04,1.46,190,14,13.4,5.6
Saudi Arabia,GCC and Iraq,Arabic,,,Robotic,Support,FALSE,5th,Fraggerz,FRG,Breach,Sova,Skye,7,98,121,36,0.8,1.1,186,14,17.2,5.1
Egypt,Levant and North Africa,Arabic,,,RockeT,Entry,FALSE,5th,Gamax Esports,GMX,Raze,Jett,,33,505,537,116,0.94,1.15,217,15.3,16.2,3.5
Turkey,Turkey,Turkish,,,Rosé,Support,TRUE,1st,Pcific Esports,PCF,Sova,Breach,Omen,34,437,513,230,0.85,1.3,174,12.8,15,6.7
Turkey,Turkey,Turkish,,,Ruxic,Smoker,FALSE,5th,Fire Flux Esports,FF,Omen,Viper,,26,458,375,228,1.22,1.82,228,17.6,14.4,8.7
Germany,DACH,German,,,RxYaL,Smoker,FALSE,8th,Permitta Unicorns,PXU,Omen,Chamber,Viper,8,83,125,37,0.66,0.96,163,10.3,15.6,4.6
Denmark,DACH,Danish,English,,SEIDER,Support,FALSE,4th,FOKUS,FKS,Gekko,Fade,Sova,30,326,404,183,0.8,1.25,152,10.8,13.4,6.1
Finland,DACH,Finnish,Swedish,,SPMAK,Support,FALSE,6th,DIVIZON,DIV,Breach,Sova,Skye,24,302,371,231,0.81,1.43,174,12.5,15.4,9.6
Germany,DACH,German,,,STAVINCI,Support,FALSE,5th,ALTERNATE aTTaX,ATN,Breach,Gekko,KAY/O,27,351,380,206,0.92,1.46,179,13,14,7.6
Turkey,Turkey,Turkish,,,STERBEN,Smoker,FALSE,6th,SuperMassive Esports,SUP,Omen,Viper,Astra,29,469,417,242,1.12,1.7,214,16.1,14.3,8.3
Egypt,Levant and North Africa,Arabic,,,SXL,Support,FALSE,5th,Gamax Esports,GMX,Breach,Gekko,Brimstone,13,137,181,130,0.75,1.47,142,10.5,13.9,10
Czechia,France,French,Czech,,Sacake,Support,FALSE,2nd,Valiant,VLNT,Gekko,Sova,Fade,25,295,374,167,0.78,1.23,167,11.8,14.9,6.6
Spain,Spain,Spanish,,,Saiz,Anchor,FALSE,1st,Barça eSports,BAR,Killjoy,Cypher,Sage,24,366,338,110,1.08,1.4,204,15.2,14,4.5
Egypt,GCC and Iraq,Arabic,,,Sand,Smoker,FALSE,1st,Team Falcons,FLC,Cypher,Viper,Harbor,33,471,377,158,1.24,1.66,195,14.2,11.4,4.7
Turkey,Turkey,Turkish,,,SasuKe,Support,FALSE,9th,Eternal Fire,EF,KAY/O,Omen,Sova,21,247,325,188,0.76,1.33,164,11.7,15.4,8.9
Moldova,EMEA Playins,Moldovan,,,Sayonara,Entry,FALSE,2nd,KPI Gaming,KPI,Raze,Jett,Sova,10,201,150,55,1.34,1.7,262,20.1,15,5.5
Norway,North EMEA,Norwegian,,,SemberN,Anchor,FALSE,7th,Formulation Gaming,FMG,Cypher,Viper,Killjoy,17,265,270,66,0.98,1.22,192,15.5,15.8,3.8
Latvia,East EMEA,Latvian,,,Serial,Anchor,FALSE,5th,Chipi Chapa's,CHCH,Cypher,Gekko,Deadlock,27,454,409,109,1.11,1.37,217,16.8,15.1,4
United Kingdom,France,French,English,,Sevire,Support,FALSE,7th,Solary,SLY,KAY/O,Sage,Breach,19,291,319,163,0.91,1.42,195,15.3,16.7,8.5
Germany,DACH,German,,,Sevkaan,Anchor,FALSE,5th,ALTERNATE aTTaX,ATN,Killjoy,Cypher,,11,147,145,37,1.01,1.26,179,13.3,13.1,3.3
Jordan,GCC and Iraq,Arabic,,,ShawateRR,Smoker,FALSE,3rd,Underground Gaming,UG,Omen,Viper,,16,200,246,122,0.81,1.3,175,12.5,15.3,7.6
Germany,DACH,German,,,Shazeon,Anchor,FALSE,3rd,Eintracht Frankfurt,SGE,Cypher,Viper,Killjoy,29,486,456,181,1.06,1.46,203,16.7,15.7,6.2
Egypt,Levant and North Africa,Arabic,,,Shniider,Smoker,FALSE,2nd,Team RA'AD,RAAD,Clove,Gekko,Viper,37,626,635,244,0.98,1.37,224,16.9,17.1,6.5
Belarus,Levant and North Africa,Russian,Belarusian,,SimonD4rk,Entry,FALSE,1st,R8 Esports,R8,Raze,Yoru,Reyna,40,698,563,164,1.23,1.53,247,17.4,14,4.1
Tunisia,Levant and North Africa,Arabic,,,Slacherj,Support,FALSE,8th,Skulls Esports,SKUL,Sova,Skye,Raze,15,175,232,50,0.75,0.96,184,11.6,15.4,3.3
Portugal,Portugal,Portuguese,Mirandese,,Slaxx,Support,FALSE,7th,FUZOS,FUZO,Gekko,Breach,,6,97,101,41,0.96,1.36,189,16.1,16.8,6.8
Norway,Italy,Italian,Norwegian,,Snaptor,Entry,FALSE,8th,Axolotl,AXL,Reyna,,,2,21,31,4,0.67,0.8,186,10.5,15.5,2
Kuwait,GCC and Iraq,Arabic,,,SnipKw,Smoker,FALSE,2nd,Unity Esports,UNT,Omen,Gekko,Brimstone,35,537,529,283,1.01,1.55,207,15.3,15.1,8
Finland,North EMEA,Finnish,Swedish,,Snowi,Support,FALSE,4th,OnlyFins,OF,Breach,KAY/O,Skye,27,354,380,278,0.93,1.66,183,13.1,14,10.2
France,France,French,,,SoOn,Anchor,FALSE,4th,Mandatory,MDR,Cypher,Killjoy,,19,249,273,84,0.91,1.21,172,13.1,14.3,4.4
Turkey,Turkey,Turkish,,,SouhcNi,Support,FALSE,6th,SuperMassive Esports,SUP,Sova,Gekko,Fade,29,325,414,198,0.78,1.26,153,11.2,14.2,6.8
Russia,France,French,Russian,,Sp1ke,Entry,FALSE,5th,Cicadas Gaming,CG,Jett,Raze,Neon,18,266,273,72,0.97,1.23,213,14.7,15.1,4
Lebanon,GCC and Iraq,Arabic,,,SpY,Support,FALSE,1st,Team Falcons,FLC,Skye,Gekko,Fade,33,469,380,220,1.23,1.81,200,14.2,11.5,6.6
Germany,DACH,German,,,Spocki,Support,FALSE,9th,XPERION NXT,NXT,KAY/O,Gekko,Skye,20,263,341,147,0.77,1.2,165,13.1,17,7.3
Poland,East EMEA,Polish,,,Stix,Smoker,FALSE,9th,Incognito,INCO,Omen,Viper,Skye,21,310,306,115,1.01,1.38,200,14.7,14.5,5.4
Poland,East EMEA,Polish,,,Szalony,Entry,FALSE,9th,Incognito,INCO,Iso,Jett,,3,33,48,10,0.68,0.89,170,11,16,3.3
Hungary,France,French,Hungarian,,Szimpli,Entry,FALSE,8th,DVM,DVM,Phoenix,Jett,Raze,19,294,306,84,0.96,1.23,216,15.4,16.1,4.4
United Kingdom,North EMEA,English,,,T0BA,Anchor,FALSE,3rd,Requiem,RQM,Cypher,Killjoy,Brimstone,27,399,386,148,1.03,1.41,198,14.7,14.2,5.4
Italy,Italy,Italian,,,Tag,Anchor,FALSE,1st,DSYRE,DSY,Viper,Killjoy,Cypher,19,269,233,117,1.15,1.65,201,14.1,12.2,6.1
Poland,East EMEA,Polish,,,TajReX,Flex,FALSE,4th,trashcan,TR,Killjoy,Viper,Raze,34,532,513,164,1.03,1.35,226,15.6,15,4.8
Ireland,North EMEA,English,,,Tempo,Anchor,FALSE,2nd,SweetNSour,SNS,Killjoy,Cypher,Viper,25,377,380,72,0.99,1.18,189,15,15.2,2.8
Spain,Spain,Spanish,,,TiTaN,Support,FALSE,5th,FIVE Media Clan,FIVE,Sova,Viper,KAY/O,11,138,150,69,0.92,1.38,179,12.5,13.6,6.2
Russia,Portugal,Russian,,,Tian,Entry,FALSE,7th,FUZOS,FUZO,Raze,Jett,,3,34,46,7,0.73,0.89,167,11.3,15.3,2.3
United Kingdom,North EMEA,English,,,Ticey,Entry,FALSE,2nd,SweetNSour,SNS,Raze,Jett,Yoru,29,550,465,124,1.18,1.44,245,18.9,16,4.2
France,France,French,,,TiduS,Smoker,FALSE,6th,Akroma,AKR,Omen,Killjoy,Astra,18,245,284,87,0.86,1.16,172,13.6,15.7,4.8
Saudi Arabia,GCC and Iraq,Arabic,,,Titanjr,Smoker,FALSE,3rd,Underground Gaming,UG,Viper,Omen,Fade,25,347,367,158,0.94,1.37,206,13.8,14.6,6.3
Turkey,Spain,Spanish,Turkish,,Toronto,Entry,FALSE,8th,Imperium Gaming,IMP,Raze,Jett,,2,17,29,6,0.58,0.79,144,8.5,14.5,3
Turkey,Turkey,Turkish,,,Touven,Entry,FALSE,4th,Galatasaray Esports,GS,Yoru,KAY/O,Raze,27,399,428,215,0.93,1.43,187,14.7,15.8,7.9
Turkey,Turkey,Turkish,,,Turko,Anchor,FALSE,5th,Fire Flux Esports,FF,Cypher,Killjoy,Omen,26,393,374,152,1.05,1.45,191,15.1,14.3,5.8
Poland,France,French,Polish,,UNFAKE,Support,TRUE,3rd,ZERANCE,ZER,Sova,Skye,Gekko,26,368,346,153,1.06,1.5,188,14.1,13.3,5.8
Portugal,Spain,Spanish,Portuguese,Mirandese,VTaguT,Smoker,FALSE,6th,FALKE ESPORTS,FLK,KAY/O,Omen,Viper,17,198,264,117,0.75,1.19,168,11.6,15.5,6.8
Saudi Arabia,GCC and Iraq,Arabic,,,Veenx,Support,FALSE,8th,Vision Esports,VIS,Breach,Sage,Gekko,21,231,327,159,0.7,1.19,156,11,15.5,7.5
Turkey,Turkey,Turkish,,,VenTT,Smoker,FALSE,2nd,HOWL Esports,HOWL,Omen,Harbor,Brimstone,34,522,514,312,1.01,1.62,197,15.3,15.1,9.1
France,France,French,,,Veqaj,Support,FALSE,3rd,ZERANCE,ZER,Viper,Breach,Skye,26,405,324,217,1.25,1.91,213,15.5,12.4,8.3
Germany,EMEA Playins,German,,,Vince,Smoker,FALSE,1st,CGN Esports,CGN,Omen,Astra,Brimstone,10,170,131,69,1.29,1.82,218,17,13.1,6.9
Russia,North EMEA,Russian,,,Vitie,Smoker,FALSE,8th,Apinaorkesteri,APE,Omen,Viper,Brimstone,19,300,299,164,1,1.55,214,15.7,15.7,8.6
Spain,Spain,Spanish,,,Vorwenn,Flex,FALSE,1st,Barça eSports,BAR,Astra,Cypher,Sova,24,305,331,166,0.92,1.42,170,12.7,13.7,6.9
Turkey,Italy,Italian,Turkish,,VuexLex,Entry,FALSE,4th,HGE Esports,HE,Jett,Raze,,12,183,189,40,0.96,1.17,206,15.2,15.7,3.3
Finland,East EMEA,Finnish,Swedish,,Vuubit,Support,FALSE,3rd,Acend,ACE,KAY/O,,,1,8,17,14,0.47,1.29,132,8,17,14
Estonia,Italy,Italian,Estonian,,WACKIE,Support,FALSE,1st,DSYRE,DSY,KAY/O,Gekko,Viper,19,325,221,172,1.47,2.24,234,17.1,11.6,9
Portugal,Portugal,Portuguese,Mirandese,,Waer,Smoker,FALSE,7th,FUZOS,FUZO,Viper,Omen,Brimstone,6,97,90,31,1.07,1.42,220,16.1,15,5.1
United Kingdom,North EMEA,English,,,Waken,Smoker,FALSE,6th,Metizport,MZP,Omen,Jett,Viper,11,177,189,83,0.93,1.37,194,16,17.1,7.5
Czechia,East EMEA,Czech,,,WanZeru,Entry,FALSE,6th,B8 Esports,B8,Raze,Neon,Jett,27,485,457,95,1.06,1.26,245,17.9,16.9,3.5
Turkey,Turkey,Turkish,,,Wasp,Support,FALSE,9th,Eternal Fire,EF,Sova,Iso,Gekko,12,153,193,60,0.79,1.1,170,12.7,16,5
Belarus,Levant and North Africa,Russian,Belarusian,,Winteryrook,Smoker,FALSE,1st,R8 Esports,R8,Viper,Sage,Astra,40,654,553,298,1.18,1.72,226,16.3,13.8,7.4
France,North EMEA,French,,,Wissite,Anchor,FALSE,5th,NXT,NXT,Cypher,,,2,23,30,12,0.76,1.16,153,11.5,15,6
Spain,Spain,Spanish,,,Ximy,Support,FALSE,5th,FIVE Media Clan,FIVE,KAY/O,Breach,,10,136,141,105,0.96,1.7,178,13.6,14.1,10.5
Wales,DACH,Welsh,English,,YaBoiLewis,Support,FALSE,4th,FOKUS,FKS,KAY/O,Raze,Skye,30,449,422,206,1.06,1.55,214,14.9,14,6.8
Egypt,Levant and North Africa,Arabic,,,Yassien,Entry,FALSE,2nd,Team RA'AD,RAAD,Raze,Gekko,Jett,37,611,552,162,1.1,1.4,219,16.5,14.9,4.3
Turkey,Turkey,Turkish,,,Yigox,Anchor,FALSE,10th,Fenerbahçe Esports,FB,Cypher,Sage,Sova,16,194,244,55,0.79,1.02,154,12.1,15.2,3.4
France,France,French,,,Yohpa,Flex,FALSE,5th,Cicadas Gaming,CG,Yoru,Sova,Sage,18,278,263,95,1.05,1.41,205,15.4,14.6,5.2
Spain,Spain,Spanish,,,YuNo,Smoker,TRUE,5th,FIVE Media Clan,FIVE,Omen,Viper,Gekko,17,233,248,114,0.93,1.39,193,13.7,14.5,6.7
France,France,French,,,Yuta,Anchor,FALSE,5th,Cicadas Gaming,CG,Cypher,Killjoy,,18,264,268,66,0.98,1.23,190,14.6,14.8,3.6
Italy,Italy,Italian,,,Z3R0,Smoker,FALSE,3rd,Outplayed,OP,Omen,Brimstone,KAY/O,20,336,285,212,1.17,1.92,227,16.8,14.2,10.6
United Kingdom,East EMEA,English,,,ZachKappa,Anchor,FALSE,5th,Chipi Chapa's,CHCH,Killjoy,Raze,Cypher,27,392,391,90,1,1.23,192,14.5,14.4,3.3
Egypt,DACH,Arabic,,,Ziad,Entry,FALSE,6th,DIVIZON,DIV,Raze,Jett,Yoru,24,378,392,110,0.96,1.24,212,15.7,16.3,4.5
Saudi Arabia,GCC and Iraq,Arabic,,,Zimo,Smoker,FALSE,6th,Twisted Minds,TWIS,Omen,Viper,Brimstone,36,531,502,243,1.05,1.54,188,14.7,13.9,6.7
Israel,East EMEA,Hebrew,,,Zneva,Anchor,FALSE,7th,NOM Esports,NOM,Killjoy,Cypher,,23,348,363,88,0.95,1.2,186,15.1,15.7,3.8
United Kingdom,EMEA Playins,English,,,aNguiSt,Anchor,FALSE,1st,CGN Esports,CGN,Killjoy,Cypher,Deadlock,10,173,112,33,1.54,1.83,219,17.3,11.2,3.3
Saudi Arabia,GCC and Iraq,Arabic,,,adelano,Flex,FALSE,3rd,Underground Gaming,UG,Omen,Gekko,Cypher,18,250,242,127,1.03,1.55,193,13.8,13.4,7
Poland,East EMEA,Polish,,,adm1k,Support,FALSE,9th,Incognito,INCO,Sova,Viper,Fade,18,232,292,113,0.79,1.18,180,12.8,16.2,6.2
Turkey,Levant and North Africa,Turkish,,,aimDLL,Anchor,FALSE,5th,Gamax Esports,GMX,Cypher,Killjoy,Viper,33,598,440,135,1.35,1.66,238,18.1,13.3,4
Germany,DACH,German,,,al0rante,Smoker,FALSE,4th,FOKUS,FKS,Cypher,Astra,Viper,30,473,410,113,1.15,1.42,215,15.7,13.6,3.7
